Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2023-01-03,365.0720520019531,380.82000732421875,386.42999267578125,377.8299865722656,384.3699951171875,74850700
2023-01-04,367.8904724121094,383.760009765625,385.8800048828125,380.0,383.17999267578125,85934100
2023-01-05,363.6915588378906,379.3800048828125,381.8399963378906,378.760009765625,381.7200012207031,76970500
2023-01-06,372.03179931640625,388.0799865722656,389.25,379.4100036621094,382.6099853515625,104189600
2023-01-09,371.8209228515625,387.8599853515625,393.70001220703125,387.6700134277344,390.3699951171875,73978100
2023-01-10,374.428466796875,390.5799865722656,390.6499938964844,386.2699890136719,387.25,65358100
2023-01-11,379.1641845703125,395.5199890136719,395.6000061035156,391.3800048828125,392.2300109863281,68881100
2023-01-12,380.54461669921875,396.9599914550781,398.489990234375,392.4200134277344,396.6700134277344,90157700
2023-01-13,382.02093505859375,398.5,399.1000061035156,393.3399963378906,393.6199951171875,63903900
2023-01-17,381.3211364746094,397.7699890136719,400.2300109863281,397.05999755859375,398.4800109863281,62677300
2023-01-18,375.3008117675781,391.489990234375,400.1199951171875,391.2799987792969,399.010009765625,99632300
2023-01-19,372.56866455078125,388.6400146484375,391.0799865722656,387.260009765625,389.3599853515625,86958900
2023-01-20,379.50927734375,395.8800048828125,396.0400085449219,388.3800048828125,390.1000061035156,91806400
2023-01-23,384.0628967285156,400.6300048828125,402.6499938964844,395.7200012207031,396.7200012207031,84178800
2023-01-24,383.650634765625,400.20001220703125,401.1499938964844,397.6400146484375,398.8800048828125,59524900
2023-01-25,383.79443359375,400.3500061035156,400.70001220703125,393.55999755859375,395.95001220703125,84800300
2023-01-26,388.01251220703125,404.75,404.9200134277344,400.0299987792969,403.1300048828125,72287400
2023-01-27,388.9040222167969,405.67999267578125,408.1600036621094,403.44000244140625,403.6600036621094,68346200
2023-01-30,384.0245056152344,400.5899963378906,405.1300048828125,400.2799987792969,402.79998779296875,74202000
2023-01-31,389.67095947265625,406.4800109863281,406.5299987792969,400.7699890136719,401.1300048828125,86811800
2023-02-01,393.8122863769531,410.79998779296875,413.6700134277344,402.3500061035156,405.2099914550781,101459200
2023-02-02,399.5450744628906,416.7799987792969,418.30999755859375,412.8800048828125,414.8599853515625,101654500
2023-02-03,395.2981872558594,412.3500061035156,416.9700012207031,411.0899963378906,411.5899963378906,94736800
2023-02-06,392.8824157714844,409.8299865722656,411.2900085449219,408.1000061035156,409.7900085449219,60295300
2023-02-07,398.020751953125,415.19000244140625,416.489990234375,407.57000732421875,408.8699951171875,90990700
2023-02-08,393.6684875488281,410.6499938964844,414.5299987792969,409.92999267578125,413.1300048828125,76227500
2023-02-09,390.2557067871094,407.0899963378906,414.57000732421875,405.80999755859375,414.4100036621094,78694900
2023-02-10,391.1664123535156,408.0400085449219,408.44000244140625,405.010009765625,405.8599853515625,70769700
2023-02-13,395.7583312988281,412.8299865722656,412.9700012207031,408.239990234375,408.7200012207031,64913500
2023-02-14,395.57623291015625,412.6400146484375,415.04998779296875,408.510009765625,411.239990234375,88389300
2023-02-15,396.8608093261719,413.9800109863281,414.05999755859375,409.4700012207031,410.3500061035156,61555700
2023-02-16,391.396484375,408.2799987792969,412.9100036621094,408.1400146484375,408.7900085449219,76431500
2023-02-17,390.418701171875,407.260009765625,407.510009765625,404.04998779296875,406.05999755859375,89257800
2023-02-21,382.5865478515625,399.0899963378906,404.1600036621094,398.82000732421875,403.05999755859375,82655900
2023-02-22,382.059326171875,398.5400085449219,401.1300048828125,397.0199890136719,399.5199890136719,83742300
2023-02-23,384.0916748046875,400.6600036621094,402.20001220703125,396.25,401.55999755859375,96242400
2023-02-24,379.98858642578125,396.3800048828125,397.25,393.6400146484375,395.4200134277344,108194400
2023-02-27,381.28277587890625,397.7300109863281,401.2900085449219,396.75,399.8699951171875,80444700
2023-02-28,379.8736267089844,396.260009765625,399.2799987792969,396.1499938964844,397.2300109863281,96438600
